Statistics for the whole system.
No.of components:	 No.of customers entered:	 No. of customers exited:	 Max wait time:	 Min wait time:	 Avg wait time:
16	2411	407	214.9	0.0	45.0
16	1172	405	203.6	0.0	43.4
16	783	413	139.4	0.0	36.1
16	593	405	135.5	0.0	27.6
16	463	371	121.9	0.0	17.7
16	408	359	148.0	0.0	23.0
16	349	298	80.7	0.0	14.7
16	292	275	61.8	0.0	11.9
16	283	267	42.0	0.0	7.2
16	250	242	22.0	0.0	5.6
16	228	224	30.7	0.0	6.5
16	200	195	27.7	0.0	4.1
16	169	168	13.7	0.0	3.1
16	172	168	18.5	0.0	3.3
16	188	181	29.1	0.0	3.9
