Citynum:10
City Location population Infectious Susceptible Expose Recovere
A,(39.90744,115.80746),921,123,204,234,987
B,(40.00744,116.28723),1123,23,100,762,1872
C,(40.95212,116.59321),1251,872,1190,263,242
D,(40.67231,115.32126),898,452,980,240,298
E,(40.85654,116.35212),1562,176,371,129,362
F,(41.06123,117.12376),1234,117,87,87,65
G,(41.72353,117.07621),875,123,204,234,987
H,(41.23421,117.98725),1002,23,100,762,1872
I,(42.65421,118.97234),1321,872,1190,263,242
J,(42.21356,118.12321),987,452,980,240,298
