city1,city2,city3,city4,city5,city6,city7,city8,city9,city10
123,238,296,206,350,300,191,259,307,231
849,1014,1139,827,1424,1132,802,898,1184,903
355,729,780,575,1005,782,546,644,840,649
694,848,940,689,1153,923,655,768,979,740
437,782,880,617,1099,902,619,701,915,674
634,813,903,658,1162,888,616,732,958,719
520,793,906,619,1090,865,616,718,946,702
581,814,895,654,1114,895,644,714,929,706
557,759,901,629,1132,893,637,712,933,680
544,838,885,615,1130,849,622,719,948,688
662,780,884,652,1099,876,625,718,922,692
615,823,879,653,1131,885,631,723,934,728
643,811,915,633,1094,885,618,714,932,714
627,786,863,636,1127,889,610,723,954,708
647,792,892,663,1114,865,636,701,947,723
610,794,897,618,1117,889,630,741,956,683
662,814,873,659,1104,917,616,694,930,720
610,787,865,617,1144,880,625,738,966,705
643,796,893,657,854,869,643,703,946,709
628,812,881,601,1007,891,629,745,952,715
638,794,891,650,907,848,610,717,958,714
618,807,903,647,970,883,624,732,935,707
629,803,881,658,957,865,636,718,949,722
642,804,907,611,953,902,627,696,966,703
611,801,879,676,914,883,627,731,922,695
637,795,881,638,979,884,622,707,962,711
633,791,872,639,936,892,626,708,955,689
630,816,888,622,943,862,602,711,949,723
614,801,904,641,1138,896,614,691,942,719
647,786,894,629,1038,881,630,714,955,727
622,805,872,661,1065,872,612,748,951,691
611,797,895,628,1091,900,625,728,947,704
640,804,896,650,1059,856,618,716,914,692
619,815,896,625,1076,890,615,709,961,701
630,785,920,633,1045,874,636,738,924,714
647,834,887,652,1087,883,603,717,914,678
617,775,906,646,1073,878,664,676,964,695
641,804,850,653,1059,851,600,743,957,708
616,817,910,638,1091,891,623,709,944,687
631,792,879,639,1039,885,620,729,961,715
629,826,881,646,1040,885,647,707,882,701
637,789,904,651,1059,863,632,707,980,714
616,813,894,657,1076,888,630,714,942,696
644,802,908,616,1079,863,644,704,933,711
631,768,869,655,1080,894,626,701,931,680
620,826,911,621,1058,861,627,717,960,714
636,784,875,626,1051,875,627,713,938,713
640,820,894,659,1076,862,621,731,939,699
625,818,886,626,1071,889,635,707,943,708
649,806,894,674,1067,872,630,744,948,730
620,806,876,638,1050,905,628,700,938,702
611,809,889,649,1079,878,622,710,977,722
641,792,927,664,1070,888,629,719,892,687
618,803,843,647,1079,872,598,727,745,704
